id,price
51636,135984.42897261365
51637,58484.69057290313
51638,534496.9874323794
51639,110573.50837575646
51640,214924.79028111137
51641,737360.7287573135
51642,69720.58882622588
51643,37276.04270307962
51644,317840.7972526443
51645,134677.24374611414
51646,1004179.6994082448
51647,625445.3917548592
51648,550807.8031668598
51649,88764.05304897885
51650,60004.538166295424
51651,142116.09276803723
51652,81170.12971964548
51653,391259.30139287445
51654,903944.825940868
51655,58627.727820596476
51656,131795.86878534895
51657,222237.0549445317
51658,44453.11019982033
51659,284524.042311161
51660,1106532.106783681
51661,248381.31449813294
51662,143914.15930241422
51663,363583.6648014997
51664,185540.86459937415
51665,61290.71146525548
51666,74687.58186006022
51667,226144.87702173032
51668,464701.9920231652
51669,503206.9810133848
51670,298048.01723215
51671,160940.75737693894
51672,869570.618067794
51673,55127.68950952629
51674,342977.2042288217
51675,523181.20559537044
51676,161176.674781861
51677,331221.3716382088
51678,41494.81587949484
51679,66183.30004669544
51680,264420.9491426763
51681,61567.38552955889
51682,1091676.7617797146
51683,59746.408483673105
51684,257139.62540013855
51685,71295.22576109983
51686,108743.93599294563
51687,77699.71479035115
51688,61950.84154550792
51689,390422.33930987446
51690,2496514.6066181054
51691,214743.9287320882
51692,291158.7228454572
51693,388153.04116248083
51694,199541.23561081052
51695,309259.7621370418
51696,843183.6964316914
51697,98103.09744285137
51698,333001.2321978798
51699,55184.63944054994
51700,93846.491473996
51701,57450.70033377835
51702,45396.10422212352
51703,2577594.4725841084
51704,30166.101584657103
51705,353512.6766120292
51706,95865.36946534041
51707,76733.23973510296
51708,62633.73788888199
51709,53253.91471427152
51710,109123.65818930395
51711,77718.21879472664
51712,106791.81815819038
51713,108531.98852973818
51714,146024.97278101937
51715,761527.1685504258
51716,311949.23501942056
51717,75960.9437246777
51718,79718.21884561008
51719,32219.206063770518
51720,413242.72483918624
51721,615762.3803704832
51722,450257.95883257204
51723,97806.0612445074
51724,513583.84793640865
51725,537450.1891963679
51726,506949.353198538
51727,296681.27114641527
51728,49292.385588280646
51729,599841.2618984764
51730,739078.3273388472
51731,81397.55489316516
51732,74512.95896586211
51733,47129.15630424378
51734,38870.73666742421
51735,987863.489241499
51736,142879.44579913488
51737,51918.07213345307
51738,78949.57804431472
51739,123932.5124417361
51740,183669.96626357935
51741,131705.07566606338
51742,89654.44261130654
51743,30008.783490202055
51744,392426.59283273795
51745,122017.55426671897
51746,253641.9943945422
51747,64642.80080898765
51748,50340.42221227712
51749,66566.67650937325
51750,204217.3627338149
51751,102656.40141657766
51752,147601.65751665176
51753,92146.77559954055
51754,234071.2450595251
51755,58039.6290292476
51756,672939.0872233794
51757,125328.82221899224
51758,62146.896879782355
51759,162251.44263365795
51760,329340.14437603136
51761,200591.54319164186
51762,189602.5723777993
51763,1085833.2170525948
51764,146387.19752315397
51765,58097.802956657935
51766,149313.69693141448
51767,351275.15082768886
51768,196488.68865830038
51769,123071.22320756291
51770,122956.30477527302
51771,650266.4353066306
51772,146620.7486541918
51773,195985.45841426647
51774,115982.77135610476
51775,879215.8970925803
51776,34390.46139370379
51777,67192.82393801391
51778,69128.35659056254
51779,147491.36213874628
51780,31289.477896585387
51781,73139.7317523651
51782,70280.40309129829
51783,214417.0036901405
51784,117112.50937575173
51785,76122.26957061938
51786,51487.604638222525
51787,358472.8821454857
51788,486914.5976205106
51789,60780.48740031036
51790,800263.4315001554
51791,252091.99870064948
51792,100811.13132999263
51793,54842.50735097909
51794,123978.59716365348
51795,219958.50691408626
51796,74323.24093710698
51797,255694.1156060833
51798,51242.11016935241
51799,82684.68476172733
51800,749078.6145932787
51801,351834.29792574956
51802,47258.29470021278
51803,291081.93246308353
51804,123012.24376338924
51805,2273218.064937651
51806,116771.92273206305
51807,60274.20646070218
51808,46867.77531607544
51809,648813.616270828
51810,150630.1969704788
51811,494268.0660539039
51812,101754.5146883491
51813,132195.62441013643
51814,78148.47809704024
51815,146692.3229036912
51816,95569.44290176909
51817,118889.195841581
51818,64719.54660106482
51819,110223.78327080427
51820,145589.07498871334
51821,69057.49908709132
51822,66068.99848106777
51823,654390.3867001232
51824,123698.57690721615
51825,234864.48046554232
51826,70224.24361541311
51827,152436.91521224455
51828,57859.11745374196
51829,170017.74389251575
51830,82163.28455330055
51831,402496.79311994446
51832,253757.90210969822
51833,63793.29201978406
51834,57335.63147116391
51835,137861.60090962282
51836,340373.9418102192
51837,70744.81288324899
51838,185998.08216455104
51839,87967.95432508062
51840,56692.67261943389
51841,129733.07078995858
51842,103806.18093757129
51843,88758.82316588222
51844,70246.74768560239
51845,101383.86065955846
51846,256917.9667255353
51847,121584.30281940516
51848,48651.61684086866
51849,241428.81510193978
51850,103240.70766705806
51851,92368.54551902479
51852,71331.08861881656
51853,6176168.766619588
51854,60573.941808318465
51855,90230.51832333583
51856,271467.2261134206
51857,123236.46851933624
51858,489195.55860719003
51859,265529.5222015948
51860,57761.21927049812
51861,248354.3077507783
51862,56365.77174683342
51863,69268.8955776075
51864,290015.7157114592
51865,295979.780434727
51866,95504.76745578145
51867,70325.34801663943
51868,77411.21309303264
51869,73169.55874321001
51870,75367.54720897645
51871,98556.30485273337
51872,230013.43058051955
51873,160829.31511986678
51874,179997.89715999374
51875,288416.5557949601
51876,88760.71733635478
51877,674165.2625597006
51878,61370.253185943846
51879,228654.3351749884
51880,92940.678552588
51881,91480.14440491494
51882,692037.1446727089
51883,145719.6886665322
51884,200115.3790585752
51885,83610.00054402559
51886,239284.40019825508
51887,213891.27013486737
51888,77793.4880712164
51889,1372725.7458251533
51890,28456.41487530705
51891,55060.05500982523
51892,301057.9154782032
51893,401428.8798689096
51894,113404.78377699293
51895,83083.42319198548
51896,45174.72993310014
51897,68853.34290438106
51898,1264912.8473773852
51899,656796.6150074522
51900,121369.81328369948
51901,76852.97185880634
51902,67373.37117379814
51903,1461367.559643047
51904,111212.08781471601
51905,48062.9648188604
51906,61548.66707484994
51907,51504.56398565795
51908,593636.2610656305
51909,151224.4447041836
51910,130860.52724501045
51911,96186.98353874727
51912,151870.26408194285
51913,115470.47422545847
51914,61989.52349856035
51915,62308.74841857743
51916,166355.74592820575
51917,640020.9734193328
51918,50474.724143503634
51919,163133.25611210836
51920,527376.0081003419
